group,01,02,03,04,05,06,07,08,09,10
Amphid socket,0.0026529421863735092,0.0,3.082761159116118e-05,0.001462027223278934,0.0027514587974440253,0.0020895332873744252,0.005519088794397961,0.007536848035869943,0.001025286751943419,0.00067117586349351
Anal muscle,0.0506619125331212,0.05529119553866801,0.0576793038584649,0.05848681345911297,0.06098972333680072,0.06229885984205404,0.06249188222384008,0.06671766022841191,0.06627372261217786,0.061526498604984006
Coelomocytes,0.00026901398698372724,0.0,0.0009840536123398545,0.002032284290846575,0.0036308933901793247,0.007868524509765858,0.00718395239976326,0.009761923567795084,0.010953020268481967,0.0061714683853217305
Distal tip cell,0.030332002162469188,0.02597377351448919,0.0246710763937639,0.020350789083236034,0.020386700683539434,0.017309864202636242,0.01879887481068588,0.019682824660311016,0.01655822101893739,0.01854515833837079
Embryonic cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germline,0.0,0.0030786214030814776,0.0044609187152438905,0.00044357284707370836,0.0014883088352036083,0.00025584983108893335,0.0,0.0,0.0,0.0
Glia,0.04096779681688398,0.05410546275258977,0.08131803205077272,0.08782511527345525,0.09406950516797465,0.09655223103566955,0.08814913043808313,0.08376832971820729,0.07906881814907765,0.07332211605279798
Gonadal,0.032196688211707215,0.06475238016191559,0.08168805272399392,0.08664130643047917,0.08815594293410599,0.09080494636763371,0.09240281771621175,0.08308677048113752,0.083123963655366,0.0803465635644123
Hypodermal cells,0.03903260578150516,0.04288401661041179,0.013645826301499799,0.002406215107723625,0.00029908646924501665,0.0011354739429537749,0.0,0.0,0.0,0.00029251200026389
Intestinal-rectal valve,0.045264182518304004,0.037461269381093426,0.026978879314121736,0.021694747750083107,0.010915166252767042,0.010754817977550716,0.01059266179048142,0.007576235389143029,0.004991596413364834,0.00605151455770156
Intestine,0.12541192335333665,0.12304617297087504,0.12649317630824952,0.11513051363396,0.10376709006015276,0.09685015432031412,0.07965904373911988,0.07408042674125603,0.06774765910078387,0.07152616101478101
Marginal cell,0.00028327849884793635,0.0,0.002033535460709791,0.008897133538831366,0.016123613025010527,0.020274321223355325,0.0208135116310747,0.021619830745664714,0.013805337437761899,0.0158418063092544
Muscle,0.12937675308650476,0.12478813894497574,0.13661178763733609,0.15253534459191428,0.14454708322559953,0.1409976666166942,0.13548035153613455,0.13382426518361265,0.1395704391210218,0.13167047031731996
Neurons,0.0,0.0,0.0,0.0,0.0021470056613512585,0.0023209342456898163,0.005392845871637361,0.006169260737994671,0.0042156445108674665,0.00178723816606838
Phasmid socket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sperm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spermatheca,0.05682897566499701,0.06964388781707526,0.06542612515922776,0.06212570686490601,0.06804762814063309,0.07639273810593449,0.08624414220029128,0.09340832998158129,0.09091309612801991,0.10267582628733832
Spermatheca-Uterine junction,0.03272944046395258,0.013665520382105566,0.008822273862524427,0.008809394033561858,0.009786127134793909,0.008831147320639676,0.01188309666515606,0.010793141761182585,0.008624223973118383,0.01470566971051703
Unassigned sheath cells,0.035432281440133266,0.041720753811575174,0.04213246360308515,0.0478268013937452,0.05161165093309127,0.05556324168938307,0.06154371044782132,0.06700646155411023,0.07157654368841415,0.06291645195017162
Uterine-vulval cells,0.061750289256355305,0.07231592062195016,0.07065321334754607,0.07154366926859827,0.08317282040765712,0.0842986724316438,0.08844285963257774,0.08749887316780172,0.09459920027496523,0.09085835784120147
Vulval cell,0.0005516903855981,0.011436776399586656,0.0125957764721924,0.012672948609707418,0.02297583450656099,0.009201357141350291,0.025220073019800598,0.022968403595026443,0.022517674142779495,0.01423416816437251
"arcade, marginal and pharyngeal muscle cells",0.00046431032717706366,0.0004216314722732889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074755489303057
hmc,0.008652828531345446,0.021308661113428388,0.027672965554142167,0.030172255441704276,0.033270965698736256,0.04060702415542152,0.0334838790841344,0.028942061740736387,0.04774517589993535,0.037417541693079585
vulval cells and the epidermis,0.0076538895609133,0.005033142147063022,0.0046605044822093725,0.0030921760717493667,0.004395382016772633,0.0036844847607445247,0.0,0.0009785813984538286,0.0,0.0
